0	24.656973
1	29.332506
2	32.267189
3	32.193207
4	33.502430
5	33.154140
6	33.617645
7	36.364380
8	37.009720
9	38.417446
10	38.671219
11	38.583263
12	39.272148
13	38.714134
14	39.545826
15	39.524017
16	40.782265
17	39.925415
18	40.926205
19	39.586010
20	40.048187
21	40.641243
22	40.206776
23	39.519966
24	40.014446
25	40.784683
26	40.588516
27	41.477425
28	41.655998
29	41.323353
30	42.397587
31	42.041508
32	41.784382
33	42.279110
34	43.880089
35	44.305775
36	46.070557
37	48.982582
38	49.315536
39	49.244698
40	50.463055
41	50.840279
42	50.859787
43	51.399059
44	51.948669
45	51.585419
46	50.731941
47	52.220638
48	53.532722
49	53.311325
50	53.946537
51	53.942677
52	54.621593
53	54.470909
54	53.651989
55	54.412212
56	54.106224
57	55.198578
58	53.963615
59	54.788551
60	52.949883
61	53.475098
62	54.456688
63	54.632473
64	55.664780
65	54.623161
66	54.231102
67	54.676117
68	54.736732
69	55.864555
70	56.395992
71	57.656025
72	57.432396
73	60.831726
74	64.683922
75	66.873276
76	67.394722
77	67.149788
78	67.569557
79	67.687012
80	67.281548
81	68.850105
82	69.449799
83	69.826309
84	70.998009
85	72.525131
86	74.155365
87	75.358696
88	75.768913
89	75.110016
90	75.851730
91	78.530540
92	79.338509
93	79.358253
94	80.503403
95	80.907639
96	82.673714
97	82.113396
98	81.474037
99	81.777916
